,sample,IGSN,source,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHODS,ANALYZED MATERIAL,ROCK TYPE,sample_type,MINERAL,TECTONIC SETTING,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
4330,WUFCHIN-KUAN-HY2-02,,"WU, 2006",nr,40.75,124.67,1.0,,,,30.0,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.52,1.01,0.14,0.61,0.21,0.07,0.25,0.057,0.4,0.1,0.25,0.043,0.3,0.047
4334,WUFCHIN-KUAN-HY2-06,,"WU, 2006",nr,40.75,124.67,1.0,,,,1340.0,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.94,2.65,0.4,1.85,0.38,0.11,0.32,0.052,0.3,0.064,0.17,0.027,0.19,0.031
4335,WUFCHIN-KUAN-HY2-07,,"WU, 2006",nr,40.75,124.67,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.35,0.86,0.15,0.82,0.28,0.097,0.31,0.07,0.46,0.11,0.28,0.047,0.32,0.053
4336,WUFCHIN-KUAN-HY2-14,,"WU, 2006",nr,40.75,124.67,1.0,,,,720.0,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.47,1.27,0.2,1.0,0.28,0.09,0.25,0.051,0.31,0.069,0.17,0.028,0.18,0.03
4337,WUFCHIN-KUAN-HY2-29,,"WU, 2006",nr,40.75,124.67,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.17,0.47,0.096,0.59,0.23,0.089,0.3,0.072,0.49,0.12,0.32,0.058,0.39,0.064
4345,WYMSUP-ABIT-02JAA-0002,,"WYMAN, 2006",nr,48.08,-79.05,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,35.1,80.1,11.1,48.0,9.6,3.0,7.7,1.0,4.8,0.9,2.2,0.3,1.8,0.3
4346,WYMSUP-ABIT-GG-00604,,"WYMAN, 2006",nr,48.08,-79.05,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,65.0,134.2,18.4,72.5,12.2,3.6,9.8,1.3,5.9,1.2,2.8,0.4,2.5,0.4
4347,WYMSUP-ABIT-GG-00665,,"WYMAN, 2006",nr,48.08,-79.05,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,10.8,33.6,5.1,22.8,5.1,1.4,5.2,0.8,4.7,1.0,2.8,0.4,2.6,0.4
4348,WYMSUP-ABIT-GG-00666,,"WYMAN, 2006",nr,48.08,-79.05,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,28.2,65.3,8.7,38.0,8.2,2.4,7.1,1.0,4.7,0.9,2.3,0.3,2.3,0.3
4350,WYMSUP-WAWA-02DS-86,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,16.2,35.5,4.7,20.1,4.0,1.2,3.5,0.5,2.9,0.6,1.6,0.2,1.5,0.2
4351,WYMSUP-WAWA-02DS-87,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,15.3,34.4,4.5,18.8,4.1,1.2,3.4,0.5,2.7,0.6,1.6,0.2,1.4,0.2
4352,WYMSUP-WAWA-02DS-88,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,13.8,30.3,4.1,17.8,4.0,1.4,3.9,0.6,3.4,0.7,2.0,0.3,2.0,0.3
4353,WYMSUP-WAWA-02DS89-89,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,15.2,35.5,4.7,19.4,4.3,1.3,3.6,0.5,2.7,0.5,1.4,0.2,1.3,0.2
4354,WYMSUP-WAWA-02DS90-90,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,10.1,23.0,3.1,14.5,3.5,1.3,3.8,0.7,4.0,0.9,2.6,0.4,2.5,0.4
4355,WYMSUP-WAWA-02DS94-94,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,23.8,50.5,6.4,25.5,4.7,1.4,3.9,0.5,2.9,0.6,1.6,0.2,1.5,0.2
4356,WYMSUP-WAWA-02DS96-96,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,20.6,44.4,5.8,24.9,5.7,1.8,5.0,0.6,3.5,0.7,1.9,0.3,1.8,0.3
4357,WYMSUP-WAWA-02JAA-0013,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,0.33,0.69,0.13,0.71,0.25,0.1,0.36,0.05,0.3,0.06,0.2,0.03,0.2,0.03
4358,WYMSUP-WAWA-02JAA-0014,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,4.08,5.54,0.67,2.88,0.43,0.16,0.42,0.05,0.28,0.04,0.12,0.02,0.12,0.02
4362,WYMSUP-WAWA-96RPS-0012,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,17.0,38.1,5.2,22.0,5.0,1.5,4.5,0.6,3.1,0.6,1.5,0.2,1.3,0.2
4363,WYMSUP-WAWA-96RPS-0013,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,17.7,40.6,5.7,24.8,5.5,1.7,5.0,0.7,3.7,0.7,2.0,0.3,1.7,0.2
4364,WYMSUP-WAWA-96RPS-0014,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,28.9,65.7,9.1,37.4,7.6,2.2,6.4,0.8,3.8,0.7,1.8,0.2,1.6,0.2
4366,WYMSUP-WAWA-96RPS-0016,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,6.7,13.3,1.6,6.4,1.4,0.4,1.3,0.2,1.0,0.2,0.5,0.1,0.6,0.1
4367,WYMSUP-WAWA-97RPS-0001,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,44.1,104.7,13.4,54.7,9.3,2.3,6.1,0.8,5.0,0.9,2.5,0.4,2.3,0.3
4368,WYMSUP-WAWA-97RPS-0002,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,22.4,52.8,7.2,31.3,6.5,1.7,4.9,0.6,3.7,0.7,1.9,0.3,1.6,0.2
4369,WYMSUP-WAWA-97RPS-0003,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,49.8,116.2,14.5,58.6,9.7,2.3,6.1,0.8,4.6,0.8,2.3,0.3,2.0,0.3
4370,WYMSUP-WAWA-97RPS-0004,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:ULTRAMAFIC,FOIDITE,,INTRAPLATE_CRATON,27.7,67.9,9.3,42.0,9.1,2.3,6.7,0.8,4.5,0.8,2.1,0.3,1.7,0.2
4371,WYMSUP-WAWA-97RPS-0005,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,5.14,7.91,0.97,4.35,0.68,0.28,0.44,0.05,0.31,0.05,0.17,0.02,0.17,0.02
4373,WYMSUP-WAWA-97RPS-0007,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,1.45,2.18,0.36,1.53,0.36,0.16,0.29,0.04,0.23,0.04,0.12,0.02,0.13,0.02
4374,WYMSUP-WAWA-97RPS-0008,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,0.28,0.45,0.08,0.65,0.27,0.26,0.3,0.06,0.35,0.08,0.26,0.04,0.31,0.06
4375,WYMSUP-WAWA-97RPS-0009,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,0.19,0.49,0.1,0.68,0.23,0.38,0.26,0.04,0.24,0.05,0.18,0.03,0.28,0.05
4376,WYMSUP-WAWA-97RPS-0010,,"WYMAN, 2006",nr,47.8,-84.8,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,7.01,13.57,1.75,8.07,1.08,0.59,0.58,0.07,0.47,0.08,0.26,0.04,0.26,0.05
4379,XUWCHIN-NCC-XS-603-2-1,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,7.29,14.65,2.26,10.14,3.15,1.17,4.43,0.89,6.14,1.36,4.11,0.6,4.16,0.58
4380,XUWCHIN-NCC-XS-603-2-2,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,ECLOGITE,,INTRAPLATE_CRATON,6.47,18.39,2.42,11.8,3.62,1.21,4.13,0.73,4.86,1.02,3.22,0.48,3.22,0.46
4381,XUWCHIN-NCC-XS-B1-10,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,ECLOGITE,,INTRAPLATE_CRATON,8.92,18.41,2.55,11.28,2.83,0.95,3.26,0.57,3.81,0.79,2.44,0.35,2.46,0.36
4382,XUWCHIN-NCC-XS-J-22,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,13.11,21.53,2.61,9.81,2.48,0.91,3.38,0.64,4.23,0.92,2.72,0.4,2.64,0.37
4383,XUWCHIN-NCC-XS-J3-52,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,7.52,18.9,2.22,10.3,3.14,1.02,3.33,0.65,4.09,0.9,2.59,0.41,2.69,0.42
4384,XUWCHIN-NCC-XS-J3-65,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,7.5,18.5,1.91,8.52,1.99,0.86,1.98,0.37,2.19,0.51,1.3,0.19,1.39,0.21
4385,XUWCHIN-NCC-XS-JG1-26,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,22.44,41.34,6.15,25.24,5.17,1.74,4.58,0.74,4.43,0.9,2.51,0.39,2.51,0.41
4386,XUWCHIN-NCC-XS-JG1-8,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,4.89,9.28,1.2,5.16,1.59,0.6,2.5,0.47,3.15,0.69,1.96,0.32,2.12,0.34
4387,XUWCHIN-NCC-XS-JG2-10,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,3.73,9.9,1.46,6.91,2.18,0.77,3.24,0.61,3.97,0.84,2.42,0.38,2.53,0.41
4388,XUWCHIN-NCC-XS-JG2-11,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,7.97,15.94,1.92,8.01,2.16,0.75,2.99,0.57,3.72,0.8,2.29,0.38,2.52,0.4
4389,XUWCHIN-NCC-XS-JG2-2,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,22.4,49.1,7.29,30.3,6.36,1.87,6.12,1.09,6.41,1.48,4.07,0.61,4.05,0.63
4390,XUWCHIN-NCC-XS-JG2-38,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PYROXENITE,,INTRAPLATE_CRATON,13.1,26.2,3.46,14.7,3.94,1.24,3.72,0.74,4.58,1.12,3.52,0.5,3.28,0.48
4391,XUWCHIN-NCC-XS-L-4,,"XU, 2009",nr,35.0,116.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,ECLOGITE,,INTRAPLATE_CRATON,9.98,34.57,6.38,31.24,7.37,2.08,6.16,0.82,4.16,0.77,2.11,0.29,1.89,0.25
4392,XUYCHIN-NCC-FAN-FS-1,,"XU, 2008",nr,39.0,113.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.786,6.228,0.863,3.301,0.509,0.166,0.498,0.094,0.59,0.127,0.387,0.057,0.409,0.064
4393,XUYCHIN-NCC-FAN-FS-2,,"XU, 2008",nr,39.0,113.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.988,3.443,0.532,2.551,0.548,0.176,0.481,0.074,0.407,0.078,0.212,0.032,0.2,0.032
4395,XUYCHIN-NCC-FAN-SF-23,,"XU, 2008",nr,39.0,113.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.138,0.319,0.046,0.229,0.076,0.033,0.123,0.027,0.19,0.044,0.14,0.023,0.16,0.026
4396,XUYCHIN-NCC-YANG-YG-1,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.23,0.56,0.08,0.42,0.12,0.05,0.2,0.04,0.25,0.06,0.17,0.03,0.2,0.03
4397,XUYCHIN-NCC-YANG-YG-11,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.09,0.21,0.03,0.13,0.04,0.02,0.06,0.01,0.07,0.02,0.06,0.01,0.07,0.01
4398,XUYCHIN-NCC-YANG-YG-12,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.26,0.62,0.1,0.51,0.18,0.08,0.3,0.06,0.38,0.08,0.25,0.04,0.26,0.04
4399,XUYCHIN-NCC-YANG-YG-18,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.061,0.138,0.016,0.072,0.019,0.007,0.027,0.006,0.041,0.009,0.033,0.006,0.046,0.009
4400,XUYCHIN-NCC-YANG-YG-19,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.139,0.306,0.037,0.153,0.031,0.011,0.03,0.004,0.022,0.004,0.01,0.002,0.01,0.002
4401,XUYCHIN-NCC-YANG-YG-2,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.14,0.37,0.06,0.38,0.19,0.08,0.35,0.07,0.5,0.11,0.34,0.06,0.39,0.07
4402,XUYCHIN-NCC-YANG-YG-5,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.12,0.25,0.04,0.17,0.05,0.02,0.07,0.01,0.07,0.02,0.05,0.01,0.07,0.01
4403,XUYCHIN-NCC-YANG-YG-6,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.13,0.39,0.07,0.42,0.17,0.08,0.29,0.05,0.38,0.09,0.24,0.04,0.27,0.05
4404,XUYCHIN-NCC-YANG-YG-7,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.1,0.32,0.07,0.38,0.15,0.06,0.23,0.04,0.33,0.07,0.21,0.04,0.23,0.04
4405,XUYCHIN-NCC-YANG-YYB-1,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.183,0.445,0.051,0.211,0.049,0.013,0.037,0.006,0.029,0.005,0.013,0.002,0.015,0.003
4406,XUYCHIN-NCC-YANG-YYB-10,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.068,0.166,0.028,0.167,0.069,0.03,0.121,0.026,0.189,0.045,0.137,0.023,0.163,0.029
4407,XUYCHIN-NCC-YANG-YYB-2,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.055,0.142,0.019,0.097,0.034,0.012,0.044,0.008,0.059,0.014,0.046,0.008,0.061,0.012
4408,XUYCHIN-NCC-YANG-YYB-3,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.625,1.743,0.251,0.991,0.189,0.056,0.168,0.031,0.221,0.053,0.162,0.024,0.161,0.03
4409,XUYCHIN-NCC-YANG-YYB-4,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.32,0.758,0.107,0.498,0.149,0.057,0.196,0.035,0.234,0.052,0.151,0.025,0.167,0.025
4410,XUYCHIN-NCC-YANG-YYB-5,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.109,0.252,0.036,0.151,0.044,0.015,0.055,0.009,0.067,0.015,0.05,0.008,0.06,0.011
4411,XUYCHIN-NCC-YANG-YYB-6,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.264,0.646,0.097,0.497,0.167,0.064,0.251,0.047,0.328,0.076,0.223,0.036,0.242,0.039
4412,XUYCHIN-NCC-YANG-YYB-7,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.026,0.064,0.009,0.04,0.014,0.006,0.021,0.004,0.028,0.007,0.025,0.005,0.038,0.008
4413,XUYCHIN-NCC-YANG-YYB-8,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.516,1.014,0.131,0.579,0.175,0.068,0.242,0.042,0.287,0.065,0.189,0.029,0.2,0.034
4414,XUYCHIN-NCC-YANG-YYB-9,,"XU, 2008",nr,40.0,114.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.725,0.763,0.061,0.201,0.034,0.009,0.027,0.004,0.021,0.004,0.012,0.002,0.019,0.005
4416,466CHEM-DJ03,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.53,0.01,-10.0,-10.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,9.51,22.51,3.08,14.19,3.75,1.48,4.27,0.742,4.56,0.95,2.64,0.46,2.49,0.368
4417,466CHEM-DJ05,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.517,0.01,,,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,22.76,53.0,7.09,32.13,8.06,2.65,8.44,1.472,8.73,1.85,5.07,0.89,4.42,0.657
4418,466CHEM-DJ09,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.51,0.01,-125.0,-125.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,22.52,52.44,6.93,30.66,7.97,2.67,8.14,1.422,8.73,1.85,5.11,0.93,4.54,0.675
4419,466CHEM-DJ18,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.505,0.01,-125.0,-125.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,29.87,69.19,9.01,40.82,10.91,2.86,9.86,1.765,10.49,2.23,6.13,1.06,5.48,0.81
4421,466CHEM-DJ23,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.492,0.01,100.0,100.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.87,19.42,2.67,12.17,3.28,1.19,3.77,0.621,3.88,0.81,2.24,0.28,2.09,0.32
4422,466CHEM-DJ32,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.503,0.01,-200.0,-200.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,18.66,44.16,5.71,24.75,5.74,2.09,5.85,1.015,5.86,1.21,3.22,0.52,2.88,0.416
4423,466CHEM-DJ42,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.487,0.01,100.0,100.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,8.14,19.95,2.73,12.53,3.42,1.24,3.86,0.634,3.99,0.83,2.26,0.33,2.12,0.323
4425,466CHEM-DJ74,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.478,0.01,125.0,125.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,8.39,20.58,2.85,13.09,3.55,1.3,4.04,0.68,4.24,0.87,2.39,0.37,2.17,0.33
4426,466CHEM-DJ75,,"KELLEY, 2013; SCHILLING, 1992",nr,11.6,42.487,0.01,100.0,100.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,26.78,62.04,8.13,37.92,10.0,2.94,9.4,1.686,10.15,2.14,5.92,1.01,5.33,0.797
4427,YAQ1973-004-005,,"REEKIE, 2019",YAQ1973,44.18,-129.33,0.01,-3354.0,-3290.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.5,14.6,2.23,11.64,4.04,1.48,4.92,0.88,5.8,1.22,3.38,0.48,3.34,0.45
4428,YAQ1973-004-006,,"REEKIE, 2019",YAQ1973,44.18,-129.33,0.01,-3354.0,-3290.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.58,15.13,2.38,12.3,4.18,1.5,5.16,0.94,6.06,1.26,3.54,0.5,3.49,0.48
4429,YAQ1973-004-008,,"REEKIE, 2019",YAQ1973,44.18,-129.33,0.01,-3354.0,-3290.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.46,14.68,2.26,11.7,3.96,1.46,5.06,0.89,5.9,1.24,3.53,0.47,3.33,0.47
